Source,Target
64,186
92,16
24,66
16,47
67,175
132,188
185,49
54,118
182,59
139,93
70,162
120,2
189,174
120,139
45,180
170,182
118,66
24,189
2,188
166,166
86,123
165,12
126,2
41,118
143,188
103,4
57,59
40,29
64,10
46,142
101,101
91,179
158,17
120,35
13,188
37,189
184,170
57,112
12,129
126,35
83,90
11,156
71,71
172,48
174,105
132,126
75,145
93,103
32,58
57,38
8,188
137,69
24,118
40,48
39,168
119,50
57,151
155,182
71,131
161,163
47,99
168,43
76,179
97,18
46,182
35,79
41,96
33,67
177,188
68,104
72,107
145,75
44,120
118,147
114,147
93,26
107,112
75,75
119,11
67,168
18,48
119,174
92,47
61,162
65,75
105,59
189,147
168,161
45,185
135,59
188,188
92,99
143,139
60,84
114,41
19,171
29,48
19,119
11,50
45,33
182,57
42,165
51,114
48,132
72,129
45,59
51,24
95,49
168,168
134,162
24,54
108,53
75,132
171,171
127,146
4,136
107,72
78,147
60,73
57,57
123,109
73,119
30,22
30,179
143,47
13,160
83,181
86,53
49,69
119,188
69,166
61,180
24,113
45,26
143,92
161,168
189,66
14,14
119,45
179,84
171,19
143,122
8,122
49,49
134,70
143,153
68,69
129,112
16,99
105,182
158,72
75,189
132,120
135,84
90,181
25,68
143,52
32,18
68,174
41,41
119,12
161,161
111,26
83,127
45,45
182,45
188,48
92,171
78,114
162,180
50,49
99,171
107,32
70,180
131,73
186,10
135,60
102,49
48,103
110,81
122,123
120,103
46,158
86,109
152,5
168,127
119,148
100,117
17,142
126,103
127,127
45,12
156,49
158,142
120,188
122,160
8,139
20,98
67,170
26,103
161,43
70,175
105,57
179,72
68,81
119,119
165,152
137,137
15,168
163,19
41,113
152,12
122,108
81,81
178,138
38,112
88,189
92,10
33,45
122,86
51,78
107,129
72,38
69,34
64,92
81,168
51,147
81,39
45,57
139,188
49,62
6,120
188,26
165,129
19,43
21,33
9,188
112,129
111,75
64,171
153,52
39,81
32,29
62,32
97,172
119,49
171,127
126,93
18,58
183,142
45,50
26,138
123,40
97,29
20,68
61,134
57,94
171,43
45,67
125,169
44,103
139,2
126,9
143,8
103,176
75,149
22,33
48,120
29,58
71,119
30,33
45,119
132,9
68,168
8,160
101,116
119,14
51,66
13,139
64,64
45,162
114,118
26,26
127,164
41,66
163,171
52,128
126,139
134,180
45,188
179,69
126,48
109,40
100,3
152,97
18,94
81,68
75,138
126,26
40,172
176,4
131,119
178,145
90,164
67,134
132,149
93,48
68,189
28,95
11,49
77,77
124,75
48,36
54,113
132,36
51,113
102,95
114,113
56,100
161,146
185,141
174,12
140,164
48,58
180,68
134,175
76,188
2,26
139,48
29,18
50,185
180,98
54,147
153,128
45,105
88,54
78,41
65,189
22,21
61,70
44,2
139,103
189,113
138,75
179,60
73,84
64,47
174,45
59,16
179,34
186,171
86,40
132,35
51,118
97,32
161,171
78,66
148,14
134,41
114,66
45,174
62,107
134,67
143,186
143,13
120,93
114,54
138,145
188,139
20,20
143,160
45,124
54,41
