Id,Label
1,Luk. 19
2,Matth. 6
3,Psal. 74
4,Act. 7
5,Matth. 20
6,Psal. 120
7,Matth. 10
8,Matth. 26
9,Prov. 9
10,I Kor. 6
11,Act. 4
12,Jes. 5
13,Kol. 1
14,Jerem. 45
15,Psal. 95
16,Psal. 108
17,Psal. 36
18,I Sam. 15
19,Luk. 18
20,Luk. 14
21,Psal. 34
22,Matth. 18
23,Luk. 3
24,I Kön. 19
25,"Psal, 86"
26,I Kor. 11
27,I Kor. 7
28,Ezech. 18
29,Luk. 22
30,Gen. 19
31,Num. 18
32,Act. 2
33,Exod. 33
34,Deut. 4
35,Joh. 10
36,Exod. 23
37,Jes. 53
38,I Kor 2
39,Psal. 77
40,Joh. 21
41,Prov. 1
42,Jerem. 2
43,Num. 20
44,Luk. 13
45,Jerem. 1
46,Psal. 81
47,Joh. 18
48,Matth. 9
49,Eph. 3
50,Psal. 140
51,Kol. 2
52,Deut. 32
53,Mark. 13
54,Rom. 1
55,Matth. 3
56,Exod. 15
57,Psal. 148
58,Act 23
59,I Kor. 3
60,Luk. 8
61,Eph. 5
62,Psal. 29
63,Joh. 9
64,Psal. 32
65,Jes. 8
66,Mark. 2
67,Exod. 12
68,Matth. 13
69,Psal. 138
70,Matth. 22
71,Jes. 10
72,Psal. 6
73,Act. 10
74,I Joh. 2
75,Jerem. 33
76,Hebr. 12
77,Jes. 26
78,Eph. 6
79,Matth. 11
80,I Kor. 13
81,Mark. 1
82,Mark. 5
83,Gen. 4
84,Psal. 79
85,Luk. 9
86,I Kor. 5
87,Phil. 1
88,I Joh. 3
89,Jes. 50
90,I Kor. 2
91,Psal. 8
92,Mark. 9
93,Psal. 39
94,Prov. 3
95,Phil. 3
96,Jes. 40
97,Luk. 7
98,I Kor. 15
99,Matth. 24
100,Gal. 1
101,Eph. 4
102,Psal. 144
103,Gen. 17
104,Joh. 11
105,I Tim. 4
106,II Tim. 4
107,Matth. 8
108,Act. 1
109,Rom. 11
110,Joh. 8
111,Jerem. 23
112,Psal. 43
113,Joh. 6
114,Luk. 12
115,Luk. 24
116,Hebr. 10
117,Job. 1
118,Hebr. 11
119,Matth. 4
120,Matth. 17
121,Jes. 37
122,Gal. 5
123,Act. 13
124,Gen. 11
125,Jerem. 52
126,Joh. 1
127,Phil. 2
128,I Tim. 1
129,Luk. 5
130,Matth. 7
131,Dan. 12
132,Luk. 16
133,Tit. 3
134,Act. 16
135,I Sam. 28
136,Gen. 1
137,Psal. 50
138,Joh. 7
139,Exod. 3
140,Jerem. 13
141,Matth. 12
142,Exod. 7
143,Psal. 115
144,Act. 3
145,Kol. 3
146,Jes. 3
147,Job. 9
148,Jerem. 17
149,Luk. 10
150,II Tim. 1
151,Psal. 88
152,I Kor. 4
153,Luk. 2
154,Joh. 14
155,Deut. 22
156,Rom. 15
157,Jes. 6
158,Jerem. 16
159,Exod. 10
160,Jerem. 20
161,Psal. 22
162,Gal. 3
163,Joh. 12
164,Psal. 48
165,I Kön. 17
166,Hebr. 4
167,Hebr. 7
168,I Kor. 12
169,Gen. 3
170,Jerem. 32
171,Deut. 1
172,Jes. 66
173,Luk. 17
174,Joh. 19
175,Act 10
176,Matth. 16
177,Jerem. 18
178,Gal. 6
179,Joh. 5
180,Jerem. 38
181,I Kor. 9
182,Matth. 23
183,I Kor. 1
184,II Kön. 1
185,Hebr. 8
186,Deut. 8
187,Joh. 16
188,Luk. 15
189,Act. 23
190,Psal. 86
191,Job. 2
192,I Kor. 10
193,Rom. 2
194,Jerem. 6
195,Hebr. 6
196,Luk. 6
197,Prov. 19
198,Matth. 5
199,Exod. 24
200,Gen. 32
201,II Kön. 4
202,Act. 9
203,Ezech. 7
204,Matth. 25
205,Num. 23
206,Hebr. 2
207,Jes. 19
208,Psal. 41
209,Gal. 4
210,Jos. 18
211,Mark. 14
212,Prov. 18
