Source,Target
140,85
90,78
61,29
126,85
138,42
16,68
65,13
72,118
73,131
80,125
100,101
90,63
80,59
42,142
125,45
33,41
87,129
93,68
114,33
48,103
43,103
125,7
80,133
93,126
114,59
80,119
33,143
59,77
95,58
114,125
89,59
50,50
55,123
65,61
133,119
61,60
16,63
46,62
62,35
113,125
94,41
90,90
42,51
98,52
90,73
143,10
21,125
77,30
26,103
16,78
140,35
140,104
26,89
31,125
142,95
42,132
35,35
16,100
42,103
73,21
82,133
80,72
133,89
118,114
60,65
105,132
28,77
109,74
97,62
60,114
32,123
16,16
65,54
21,21
65,121
141,141
48,5
67,106
5,103
42,109
62,104
35,62
100,90
80,85
140,62
1,60
77,61
107,79
37,60
104,16
68,97
68,62
32,55
80,140
13,54
134,90
114,141
125,125
114,121
142,51
95,51
85,62
109,103
90,100
75,15
83,23
64,104
134,80
24,105
72,141
78,63
100,134
21,33
80,35
80,104
59,76
127,16
93,106
111,6
15,72
75,123
49,118
46,14
105,50
133,118
27,66
33,94
133,72
111,49
131,47
15,118
80,95
118,118
57,69
80,98
77,16
60,72
35,85
49,34
73,112
114,61
80,117
90,8
67,93
82,104
105,56
71,125
141,31
60,121
91,54
42,105
125,80
89,119
140,47
15,141
125,18
35,140
58,27
143,98
80,73
119,118
93,52
16,61
71,18
37,115
78,77
72,61
141,125
69,118
89,72
80,114
49,111
32,33
128,54
42,95
40,99
69,69
72,65
89,114
126,98
119,72
95,27
83,67
115,141
62,62
1,125
80,141
72,58
61,80
90,14
22,34
37,80
83,103
98,21
30,105
133,114
122,22
85,104
116,61
73,80
77,50
15,114
61,121
126,114
30,77
125,114
131,140
62,14
134,53
141,80
35,104
75,55
46,90
80,58
35,125
49,122
30,50
117,141
119,114
43,83
82,64
111,118
80,80
85,85
83,6
114,98
61,16
114,58
95,108
61,1
142,108
122,34
67,92
72,114
104,124
77,105
51,23
100,63
89,118
91,128
125,92
28,30
78,16
61,61
1,113
49,95
21,126
73,125
80,27
103,5
51,108
100,99
114,114
111,83
80,115
88,54
49,49
114,65
40,100
59,58
83,92
21,85
8,77
60,61
126,52
103,103
85,35
12,49
80,21
52,51
90,16
72,59
90,77
90,134
114,119
72,121
62,90
127,104
83,51
80,62
118,26
42,108
100,78
21,3
26,5
49,22
20,134
76,125
104,133
141,117
78,61
