Id,Label
1,Exod. 3
2,Gen. 12
3,Luk. 8
4,Matth. 1129
5,Mark. 12
6,Num. 8
7,Lev. 5
8,Luk. 17
9,Jerem. 1
10,Kol. 120
11,Jes. 5
12,Luk. 25
13,Luk. 23
14,Luk. 13
15,Matth. 4
16,Matth. 18
17,Rom. 2
18,Ezech. 44
19,Matth. 26
20,Matth. 8
21,Luk. 2
22,Gal. 3
23,Jerem. 23
24,Deut. 16
25,Matth. 13
26,Deut. 6
27,Luk. 11
28,Jerem. 11
29,Jes. 6
30,Luk. 16
31,Gen. 27
32,Kol. 2
33,Phil. 2
34,Lev. 19
35,Joh. 4
36,Rom. 13
37,Rom. 14
38,Luk. 144
39,Exod. 15
40,Ezech. 18
41,Gen. 15
42,Gen. 1
43,Deut. 7
44,Jes. 65
45,Rom. 3
46,Jes. 61
47,Rom. 7
48,Luk. 20
49,Luk. 10
50,Kol. 3
51,Phil. 1
52,Rom. 11
53,Exod. 23
54,Joh. 14
55,Matth. 7
56,Prov. 3
57,Exod. 12
58,Joh. 21
59,Joh. 20
60,Matth. 3
61,Luk. 7
62,Luk. 12
63,Jes. 3
64,Rom. 16
65,Joh. 19
66,Jes. 40
67,Jes. 54
68,Joh. 10
69,Gen. 41
70,Matth. 20
71,Exod. 34
72,Mark. 1
73,Matth. 24
74,Matth. 12
75,Deut. 8
76,Hebr. 4
77,Matth. 10
78,Matth. 25
79,Jes. 4
80,Luk. 3
81,Exod. 4
82,Joh. 9
83,Gal. 4
84,Tit. 1
85,Hebr. 1
86,Num. 22
87,Gen. 28
88,Jes. 62
89,Rom. 6
90,Matth. 5
91,Mark. 7
92,Joh. 5
93,Matth. 15
94,Mark. 4
95,Rom. 8
96,Luk. 135
97,Gal. 6
98,Jes. 1
99,Luk. 15
100,Luk. 19
101,Deut. 183
102,Hebr. 12
103,Matth. 22
104,Deut. 32
105,Matth. 6
106,Tit. 35
107,Job 14
108,Gal. 2
109,Joh. 12
110,Gen. 46
111,Hebr. 10
112,Exod. 20
113,Exod. 19
114,Joh. 1
115,Matth. 2
116,Deut. 329
117,Hebr. 7
118,Luk. 4
119,Joh. 3
120,Jes. 44
121,Luk. 24
122,Lev. 18
123,Luk. 6
124,Dan. 10
125,Luk. 1
126,Joh. 6
127,Gen. 31
128,Jes. 29
129,Hebr. 6
130,Deut. 10
131,Matth. 23
132,Gen. 26
133,Gen. 3
134,Matth. 11
135,Jes. 30
136,Kol. 39
137,Deut. 23
138,Kol. 1
139,Gal. 5
140,Deut. 4
141,Matth. 1
142,Phil. 4
143,Joh. 8
