Source,Target
99,152
124,112
69,139
64,51
73,72
159,112
17,20
56,25
89,45
138,65
135,139
129,139
68,39
133,133
17,64
63,48
106,19
56,101
1,28
17,90
25,150
3,2
127,61
129,121
108,59
64,20
145,71
117,96
125,148
143,7
112,141
14,119
125,81
39,85
14,153
87,54
17,158
94,23
79,115
77,95
137,38
159,159
146,128
80,63
64,146
39,30
150,103
124,13
156,100
98,82
62,84
124,124
93,138
64,39
44,16
139,117
146,104
105,6
22,121
159,29
70,39
123,146
10,19
71,153
80,54
28,98
64,98
120,127
2,7
32,91
29,29
26,34
126,22
27,43
146,73
25,79
103,139
17,17
128,60
103,97
108,108
65,81
70,30
159,141
145,153
104,58
36,146
26,3
128,132
84,82
44,119
18,119
16,132
117,22
69,147
84,38
139,121
27,124
84,12
82,12
64,90
41,72
39,146
146,135
128,101
4,7
56,60
153,12
19,150
118,28
90,51
2,71
108,98
19,124
126,117
125,73
122,61
51,123
64,81
107,154
118,40
1,156
6,91
39,139
54,97
1,107
15,15
64,119
142,15
113,54
60,64
73,120
45,95
44,131
137,97
128,39
90,36
69,22
29,112
133,159
39,128
1,108
94,72
150,124
90,146
124,159
85,65
14,71
155,16
17,142
68,30
126,103
52,121
20,98
103,121
52,103
27,159
14,2
51,21
117,121
64,123
52,22
124,29
62,98
119,119
139,157
64,17
154,100
53,49
40,26
47,47
81,81
32,32
133,112
66,53
43,29
32,6
48,160
60,128
12,55
106,150
60,25
135,157
45,150
159,43
28,114
150,20
5,80
57,115
128,157
77,150
65,15
97,111
64,36
32,29
54,160
106,124
29,91
17,146
12,46
36,51
88,71
52,117
107,156
48,54
71,37
134,34
54,103
2,153
162,34
52,147
142,98
137,12
139,139
84,98
147,103
14,88
78,152
101,25
69,121
88,2
5,160
28,59
20,17
131,14
137,103
119,16
44,155
122,66
134,3
119,14
148,137
85,138
3,110
1,98
64,64
109,133
17,98
30,124
126,139
93,66
40,134
127,53
162,134
18,131
79,57
131,119
156,156
17,21
63,160
155,131
160,54
14,145
144,144
18,44
137,84
83,6
153,82
15,31
135,25
150,19
137,62
36,21
108,28
26,134
147,117
66,127
67,119
73,104
4,4
139,22
88,153
69,117
39,124
40,34
113,137
63,80
81,148
27,112
116,39
65,64
142,119
83,91
146,157
162,3
147,96
153,137
111,111
140,8
69,126
90,21
3,153
40,3
19,19
79,150
156,107
81,72
58,58
20,20
15,71
5,54
126,121
140,124
147,139
62,38
17,51
133,43
39,135
27,133
39,157
162,26
64,142
1,59
23,72
69,103
123,102
76,31
69,129
145,110
30,39
15,76
5,63
35,35
41,148
83,29
126,96
93,53
52,126
142,65
2,110
81,41
73,148
125,41
69,96
57,79
64,30
93,122
71,110
118,98
3,34
68,124
103,129
16,131
18,155
139,96
18,16
133,29
79,79
122,53
103,117
105,130
64,21
89,132
53,61
47,43
118,134
133,124
62,82
33,33
66,49
47,17
43,17
109,109
133,141
1,114
80,48
25,57
158,109
43,112
107,100
137,98
43,159
157,139
55,46
3,71
57,150
108,118
64,87
118,34
20,64
72,148
33,104
80,160
153,110
136,146
146,146
2,143
17,109
16,89
56,64
64,128
64,25
93,127
29,141
64,63
157,132
118,3
66,61
38,82
103,96
45,132
89,124
139,132
32,83
101,135
70,64
64,135
127,49
150,104
21,146
12,73
43,141
64,54
118,26
135,132
63,87
133,27
60,135
147,129
58,120
128,64
1,154
12,12
146,132
52,139
147,121
124,27
153,98
72,17
59,98
114,59
54,48
54,137
56,128
17,36
99,78
20,119
142,81
125,72
81,7
39,39
73,41
136,42
161,38
147,126
155,119
27,27
131,67
17,123
77,45
143,99
85,93
124,8
98,119
146,58
118,114
73,127
103,20
16,16
153,62
56,135
9,136
113,97
146,103
147,22
9,146
19,106
62,12
96,22
119,67
146,144
64,101
128,128
88,145
128,25
14,110
16,45
20,142
93,49
118,162
118,59
146,120
1,100
52,96
58,127
64,70
63,54
95,150
14,3
38,12
146,139
70,70
96,121
36,123
128,135
124,141
156,154
3,145
15,81
104,120
23,17
35,50
94,17
122,49
153,84
63,63
51,146
48,48
98,38
90,123
116,85
49,61
162,40
63,5
27,141
109,27
146,39
17,119
29,6
129,22
81,73
64,15
54,54
55,55
104,127
9,42
119,131
160,160
1,118
93,61
33,150
21,123
114,98
39,132
88,110
69,52
27,29
60,101
129,117
126,129
122,127
88,3
128,139
14,67
103,22
144,103
64,60
130,6
5,48
113,103
25,115
153,38
42,146
108,114
160,48
142,64
137,82
146,127
2,145
64,65
73,58
124,43
52,129
150,115
93,65
98,12
129,96
15,37
