Id,Label
1,Hebr. 7
2,Jes. 11
3,Luk. 3
4,Job. 1
5,Deut. 19
6,Psal. 44
7,Kol. 2
8,Luk. 10
9,Hebr. 6
10,Gen. 19
11,II Kön. 17
12,Gen. 1
13,Psal. 67
14,Joh. 5
15,Deut. 32
16,I Kor. 4
17,Eph. 4
18,Gen. 4
19,Tit. 3
20,Matth. 15
21,I Petr. 4
22,Exod. 3
23,Psal. 9
24,Joh. 11
25,Mark. 4
26,Deut. 12
27,Act. 13
28,Joh. 2
29,Act. 3
30,Luk. 21
31,Matth. 25
32,Jerem. 25
33,Lev. 26
34,Ezech. 36
35,Jes. 6
36,Act. 7
37,I Kor. 6
38,Luk. 13
39,Matth. 23
40,Deut. 16
41,Prov. 1
42,Psal. 38
43,Rom. 9
44,Num. 18
45,Gal. 6
46,Matth. 11
47,Eph. 5
48,Jes. 7
49,Gen. 20
50,Matth. 4
51,II Tim. 3
52,Jes. 66
53,Jerem. 18
54,Phil. 2
55,Gen. 2
56,I Kor. 9
57,Matth. 0
58,Psal. 134
59,Act. 14
60,Luk. 8
61,Gen. 12
62,Kol. 1
63,I Kor. 13
64,Matth. 13
65,Psal. 18
66,I Tim. 1
67,Exod. 34
68,Hebr. 8
69,Psal. 21
70,Joh. 12
71,Hebr. 12
72,Psal. 103
73,I Kor. 15
74,Jes. 3
75,Jerem. 15
76,Luk. 14
77,Jerem. 9
78,I Tim. 2
79,Joh. 4
80,Matth. 18
81,I Kor. 1
82,Eph. 1
83,Deut. 18
84,Hebr. 9
85,Jes. 53
86,Gen. 18
87,Ezech. 16
88,Jes. 4
89,Rom. 8
90,Jerem. 45
91,Psal. 37
92,Psal. 33
93,I Kor. 5
94,Psal. 17
95,I Kor. 12
96,Exod. 29
97,Psal. 2
98,Matth. 7
99,Psal. 4
100,I Tim. 3
101,Luk. 11
102,Matth. 12
103,Gal. 4
104,Matth. 6
105,Jes. 58
106,Rom. 1
107,Eph. 3
108,Matth. 24
109,Joh. 10
110,Joh. 20
111,Jes. 9
112,Deut. 24
113,Psal. 76
114,Phil. 1
115,I Kor. 7
116,Psal. 94
117,Gen. 17
118,Luk. 18
119,I Kor. 3
120,Psal. 35
121,Job. 11
122,Jerem. 34
123,I Petr. 2
124,Rom. 11
125,Prov. 3
126,Act. 2
127,Jes. 5
128,Luk. 9
129,Jes. 54
130,Job. 8
131,Psal. 43
132,Hebr. 4
133,Jerem. 3
134,Joh. 8
135,Kol. 3
136,Matth. 22
137,Joh. 14
138,Exod. 15
139,Gal. 5
140,Matth. 20
141,Psal. 74
142,Matth. 3
143,II Tim. 1
144,Luk. 12
145,Ezech. 7
146,Matth. 5
147,Act. 4
148,Gen. 3
149,Exod. 4
150,Phil. 3
151,Matth. 21
152,Psal. 78
153,Joh. 1
154,Prov. 20
155,Deut. 15
156,Num. 10
157,Matth. 10
158,Psal. 128
159,Eph. 2
160,Luk. 2
161,Exod. 7
162,Jerem. 31
